  epoch    trn loss    val loss    trn/val  dur
-------  ----------  ----------  ---------  -----
      1     [36m0.36173[0m     [32m0.32396[0m    1.11658  5.98s
      2     [36m0.32444[0m     [32m0.30601[0m    1.06023  2.37s
      3     [36m0.31880[0m     0.31035    1.02722  2.27s
      4     0.32255     0.31600    1.02073  2.23s
      5     0.32064     0.32694    0.98073  2.23s
      6     [36m0.31878[0m     [32m0.30185[0m    1.05611  2.23s
      7     [36m0.31430[0m     0.31589    0.99494  2.36s
      8     0.31610     0.31886    0.99133  2.38s
      9     [36m0.31189[0m     [32m0.30107[0m    1.03595  2.24s
     10     0.31866     0.32141    0.99146  2.21s
     11     [36m0.30699[0m     0.32718    0.93831  2.23s
     12     [36m0.30660[0m     0.34337    0.89290  2.22s
     13     0.30758     0.32978    0.93270  2.20s
     14     [36m0.30162[0m     0.30742    0.98112  2.22s
     15     0.30204     0.30125    1.00264  2.23s
     16     0.30468     [32m0.29744[0m    1.02434  2.20s
     17     0.30347     [32m0.28748[0m    1.05563  2.26s
     18     0.30351     0.32830    0.92449  2.25s
     19     0.30706     0.31871    0.96345  2.25s
     20     0.30197     0.31024    0.97334  2.26s
     21     0.30301     0.30004    1.00991  2.21s
     22     0.30779     0.30284    1.01632  2.27s
     23     0.30232     0.33408    0.90493  2.20s
     24     0.30316     [32m0.28727[0m    1.05532  2.22s
     25     0.30464     0.30161    1.01005  2.20s
     26     [36m0.29724[0m     [32m0.28133[0m    1.05653  2.23s
     27     0.30653     0.33369    0.91860  2.20s
     28     0.30001     0.34755    0.86323  2.22s
     29     0.30291     [32m0.27396[0m    1.10564  2.20s
     30     0.30534     0.30649    0.99626  2.22s
     31     [36m0.29658[0m     0.31985    0.92724  2.24s
     32     0.30206     0.31450    0.96045  2.26s
     33     0.30050     0.30910    0.97217  2.23s
     34     0.30127     0.29947    1.00600  2.27s
     35     0.30166     0.32486    0.92860  2.23s
     36     0.30010     0.30961    0.96926  2.27s
     37     0.30133     0.28640    1.05214  2.20s
     38     0.30508     0.30255    1.00837  2.24s
     39     [36m0.29635[0m     0.27399    1.08159  2.20s
     40     [36m0.29568[0m     0.31307    0.94443  2.23s
     41     0.29680     0.30422    0.97563  2.22s
     42     0.29979     0.28970    1.03482  2.23s
     43     0.29950     0.31832    0.94089  2.21s
     44     0.29823     0.28583    1.04339  2.24s
     45     [36m0.29550[0m     0.30304    0.97511  2.22s
     46     0.30124     0.30721    0.98058  2.24s
     47     0.29743     0.33455    0.88905  2.22s
     48     [36m0.29083[0m     0.31053    0.93655  2.21s
     49     0.29664     0.28233    1.05068  2.24s
     50     0.29949     0.28374    1.05553  2.23s
     51     0.29650     0.32697    0.90682  2.25s
     52     0.29536     0.27907    1.05839  2.26s
     53     0.29227     [32m0.23221[0m    1.25865  2.26s
     54     0.29348     0.31824    0.92220  2.25s
     55     0.30442     0.28980    1.05045  2.27s
     56     0.29568     0.25968    1.13862  2.25s
     57     0.29318     0.29467    0.99494  2.26s
     58     0.29584     0.25227    1.17273  2.27s
     59     0.29502     0.30138    0.97890  2.26s
     60     0.29481     0.32447    0.90860  2.22s
     61     0.29666     0.26804    1.10677  2.24s
     62     0.29457     0.29133    1.01113  2.26s
     63     0.29610     0.30086    0.98418  2.24s
     64     0.29443     0.27786    1.05964  2.22s
     65     0.29291     0.27517    1.06449  2.22s
     66     [36m0.29033[0m     0.31357    0.92589  2.23s
     67     0.29202     0.29434    0.99211  2.22s
     68     0.29183     0.32122    0.90851  2.22s
     69     [36m0.28984[0m     0.33162    0.87402  2.23s
     70     0.29514     0.28915    1.02071  2.22s
     71     0.29619     0.28271    1.04766  2.22s
     72     0.29384     0.31099    0.94484  2.23s
     73     0.29076     0.29436    0.98778  2.22s
     74     0.29437     0.29275    1.00553  2.22s
     75     0.29064     0.32318    0.89933  2.24s
     76     0.29219     0.30335    0.96321  2.22s
     77     0.29135     0.29869    0.97544  2.22s
     78     0.29972     0.29224    1.02558  2.25s
     79     0.29407     0.27398    1.07333  2.25s
     80     0.29542     0.31323    0.94315  2.26s
     81     [36m0.28474[0m     0.30452    0.93506  2.28s
     82     0.28749     0.33845    0.84943  2.26s
     83     0.29316     0.28863    1.01568  2.26s
     84     [36m0.28445[0m     0.28815    0.98718  2.27s
     85     0.29274     0.29875    0.97988  2.22s
     86     0.28882     0.28656    1.00789  2.26s
     87     0.29644     0.29636    1.00027  2.27s
     88     0.29013     0.30051    0.96548  2.25s
     89     0.29788     0.28181    1.05701  2.25s
     90     0.28636     0.28247    1.01376  2.26s
     91     0.29204     0.28733    1.01639  2.26s
     92     0.29343     0.29544    0.99318  2.22s
     93     0.28968     0.29359    0.98665  2.22s
     94     0.29252     0.29201    1.00172  2.23s
     95     0.29027     0.27770    1.04528  2.22s
     96     0.28934     0.30421    0.95113  2.22s
     97     0.28854     0.29023    0.99419  2.22s
     98     0.28961     0.31762    0.91180  2.24s
     99     0.28453     0.29846    0.95330  2.22s
    100     0.28751     0.28446    1.01073  2.22s
    101     0.28527     0.31212    0.91399  2.23s
    102     0.29080     0.28333    1.02638  2.23s
    103     0.29002     0.30161    0.96157  2.21s
    104     0.29320     0.28636    1.02389  2.22s
    105     0.29175     0.30352    0.96119  2.21s
    106     [36m0.28329[0m     0.26893    1.05339  2.25s
    107     0.28350     0.30939    0.91631  2.22s
    108     0.28357     0.30914    0.91730  2.22s
    109     0.29413     0.27423    1.07257  2.22s
    110     0.28867     0.28636    1.00807  2.23s
    111     [36m0.28122[0m     0.27928    1.00696  2.23s
    112     0.28984     0.32538    0.89077  2.22s
    113     0.28796     0.30551    0.94255  2.22s
    114     0.28899     0.26300    1.09883  2.24s
    115     0.28546     0.29011    0.98396  2.23s
    116     0.28761     0.28544    1.00760  2.23s
    117     0.29188     0.30243    0.96514  2.25s
    118     0.28728     0.30179    0.95191  2.28s
    119     0.28214     0.29801    0.94675  2.26s
    120     0.28510     0.26473    1.07691  2.22s
    121     0.28357     0.24853    1.14100  2.26s
    122     0.28399     0.28646    0.99136  2.27s
    123     0.28487     0.29143    0.97748  2.26s
    124     0.28386     0.29958    0.94752  2.22s
    125     0.28499     0.28293    1.00728  2.26s
    126     0.28724     0.28212    1.01813  2.27s
    127     [36m0.28050[0m     0.31185    0.89949  2.25s
    128     0.28197     0.25982    1.08524  2.24s
    129     0.28693     0.28214    1.01697  2.26s
    130     0.28433     0.28123    1.01101  2.28s
    131     0.28389     0.30470    0.93171  2.25s
    132     0.28443     0.28398    1.00158  2.25s
    133     0.28929     0.31060    0.93138  2.23s
    134     0.28608     0.29645    0.96501  2.23s
    135     0.28526     0.26837    1.06294  2.22s
    136     0.28300     0.28518    0.99235  2.22s
    137     0.28867     0.30757    0.93854  2.22s
    138     0.28142     0.28321    0.99367  2.24s
    139     0.28330     0.28099    1.00821  2.22s
    140     0.28615     0.27684    1.03364  2.22s
    141     0.28419     0.31147    0.91242  2.22s
    142     0.28054     0.28510    0.98401  2.23s
    143     0.28743     0.30117    0.95437  2.22s
    144     0.28655     0.28498    1.00551  2.22s
    145     0.28179     0.30911    0.91161  2.22s
    146     0.28240     0.28682    0.98459  2.24s
    147     0.28654     0.27504    1.04181  2.22s
    148     0.28912     0.29383    0.98396  2.22s
    149     0.28507     0.30743    0.92729  2.22s
    150     0.28986     0.28209    1.02755  2.23s
    151     0.28100     0.30462    0.92249  2.22s
    152     0.28490     0.31723    0.89808  2.23s
    153     0.28922     0.29951    0.96565  2.22s
    154     0.28426     0.31789    0.89419  2.24s
    155     [36m0.27875[0m     0.27206    1.02459  2.22s
    156     0.28356     0.24327    1.16562  2.22s
    157     0.28594     0.31190    0.91677  2.22s
    158     0.28708     0.30163    0.95174  2.24s
    159     0.28060     0.26183    1.07170  2.22s
    160     0.28311     0.26006    1.08860  2.26s
    161     0.28844     0.32199    0.89580  2.26s
    162     0.28724     0.26540    1.08231  2.26s
    163     0.28656     0.27335    1.04832  2.28s
    164     0.27934     0.27028    1.03350  2.26s
    165     0.28263     0.30119    0.93837  2.25s
    166     [36m0.27793[0m     0.28961    0.95967  2.25s
    167     0.28006     0.27721    1.01025  2.28s
    168     0.28276     0.25341    1.11583  2.25s
    169     [36m0.27547[0m     0.29550    0.93222  2.26s
    170     0.28476     0.28877    0.98610  2.26s
    171     0.28185     0.27263    1.03380  2.27s
    172     0.28504     0.30420    0.93704  2.26s
    173     [36m0.27449[0m     0.28089    0.97722  2.25s
    174     0.28301     0.27398    1.03295  2.25s
    175     0.27607     0.25972    1.06293  2.25s
    176     0.28722     0.26400    1.08796  2.27s
    177     0.28283     0.26876    1.05236  2.22s
    178     0.27700     0.29476    0.93976  2.22s
    179     0.28228     0.26487    1.06573  2.22s
    180     0.28331     0.28105    1.00805  2.24s
    181     0.28127     0.27687    1.01587  2.22s
    182     0.28228     0.30190    0.93502  2.22s
    183     0.28424     0.27240    1.04346  2.22s
    184     0.28463     0.29646    0.96011  2.24s
    185     0.28387     0.29270    0.96982  2.22s
    186     0.27636     0.29237    0.94524  2.22s
    187     0.27862     0.29138    0.95623  2.22s
    188     0.28052     0.26871    1.04395  2.22s
    189     0.28644     0.29082    0.98494  2.23s
    190     0.27929     0.30537    0.91460  2.22s
    191     0.28031     0.28292    0.99077  2.22s
    192     0.27679     0.27245    1.01592  2.22s
    193     0.28405     0.29417    0.96559  2.24s
    194     0.27988     0.26790    1.04474  2.22s
    195     0.28197     0.25452    1.10789  2.23s
    196     0.28250     0.27974    1.00987  2.22s
    197     0.27570     0.28649    0.96234  2.24s
    198     0.27861     0.26223    1.06247  2.22s
    199     0.28412     0.27761    1.02344  2.22s
    200     0.28770     0.27340    1.05230  2.22s
    201     0.27753     0.26617    1.04268  2.22s
    202     0.28298     0.27885    1.01482  2.24s
    203     0.28139     0.28641    0.98248  2.23s
    204     0.28410     0.27403    1.03675  2.22s
    205     0.27812     0.25780    1.07882  2.25s
    206     0.28072     0.29455    0.95303  2.28s
    207     0.28016     0.29955    0.93527  2.26s
    208     [36m0.27188[0m     0.26724    1.01736  2.26s
    209     0.27967     0.27832    1.00486  2.26s
    210     0.28339     0.30099    0.94151  2.27s
    211     0.27808     0.29493    0.94286  2.25s
    212     0.27562     0.27624    0.99775  2.25s
    213     0.27926     0.27188    1.02713  2.25s
    214     0.27889     0.28031    0.99494  2.24s
    215     0.28110     0.28832    0.97494  2.27s
    216     0.27836     0.25941    1.07305  2.25s
    217     0.28357     0.28415    0.99795  2.26s
    218     0.27620     0.29678    0.93065  2.26s
    219     0.28295     0.26721    1.05891  2.28s
    220     0.28188     0.27387    1.02925  2.26s
    221     0.28443     0.27755    1.02479  2.26s
    222     0.28408     0.27519    1.03229  2.27s
    223     0.28552     0.26511    1.07699  2.23s
    224     0.28312     0.27659    1.02360  2.22s
    225     0.27948     0.24843    1.12500  2.22s
    226     0.27844     0.29467    0.94491  2.22s
    227     0.27811     0.27445    1.01334  2.22s
    228     0.28014     0.27549    1.01686  2.24s
    229     0.27691     0.26539    1.04344  2.22s
    230     0.27901     0.26984    1.03398  2.22s
    231     0.27512     0.26555    1.03606  2.22s
    232     0.27776     0.28218    0.98435  2.23s
    233     0.28191     0.29106    0.96858  2.22s
    234     0.27577     0.30017    0.91872  2.22s
    235     0.27884     0.25954    1.07437  2.22s
    236     0.28231     0.27098    1.04182  2.22s
    237     0.27732     0.30352    0.91366  2.24s
    238     0.28166     0.25871    1.08869  2.22s
    239     0.28104     0.25340    1.10908  2.22s
    240     0.27216     0.29909    0.90997  2.22s
    241     0.27872     0.29699    0.93847  2.23s
    242     0.27717     0.28518    0.97192  2.22s
    243     0.27296     0.25021    1.09089  2.22s
    244     0.27692     0.27893    0.99278  2.22s
    245     0.27952     0.28318    0.98707  2.22s
    246     0.28111     0.26175    1.07397  2.23s
    247     0.27830     0.25945    1.07265  2.21s
    248     0.27753     0.25540    1.08665  2.21s
    249     0.27374     0.29018    0.94335  2.22s
    250     0.27914     0.29532    0.94522  2.24s
    251     0.27990     0.24995    1.11981  2.22s
    252     0.27470     0.28277    0.97147  2.26s
    253     0.27544     0.29561    0.93177  2.26s
    254     0.27556     0.25755    1.06995  2.26s
    255     0.27424     0.25040    1.09521  2.27s
    256     0.28075     [32m0.23166[0m    1.21189  2.25s
    257     0.27707     0.28573    0.96971  2.26s
    258     0.27375     0.29448    0.92963  2.25s
    259     0.27972     0.27424    1.01999  2.27s
    260     0.27635     0.26822    1.03032  2.26s
    261     0.27478     0.26799    1.02532  2.26s
    262     0.27448     0.26913    1.01989  2.25s
    263     0.27955     0.30049    0.93031  2.28s
    264     0.27313     0.29333    0.93114  2.26s
    265     0.27899     0.27041    1.03172  2.25s
    266     0.27657     0.26977    1.02521  2.26s
    267     0.27288     0.30587    0.89213  2.26s
    268     0.27835     0.28496    0.97681  2.27s
    269     0.27818     0.29685    0.93710  2.26s
    270     0.27554     0.28477    0.96761  2.22s
    271     0.27324     0.27797    0.98298  2.22s
    272     0.28292     0.30062    0.94111  2.24s
    273     0.28039     0.27575    1.01686  2.22s
    274     [36m0.26673[0m     0.32093    0.83110  2.22s
    275     0.27577     0.25964    1.06215  2.22s
    276     0.27595     0.30090    0.91708  2.22s
    277     0.27325     0.29188    0.93620  2.23s
    278     0.28396     0.25268    1.12381  2.22s
    279     0.28108     0.25812    1.08893  2.22s
    280     0.26804     0.31185    0.85952  2.22s
    281     0.27199     0.26620    1.02173  2.24s
    282     0.27197     0.25636    1.06087  2.22s
    283     0.27636     0.28013    0.98652  2.22s
    284     0.27171     0.29681    0.91546  2.22s
    285     0.27244     0.26182    1.04059  2.22s
    286     0.27291     0.26527    1.02882  2.24s
    287     0.27341     0.27342    0.99996  2.22s
    288     0.27548     0.25359    1.08635  2.22s
    289     0.27193     0.28610    0.95048  2.22s
    290     0.27668     0.27677    0.99970  2.24s
    291     0.26896     0.28992    0.92771  2.22s
    292     0.27695     0.29270    0.94619  2.22s
    293     0.27658     0.29449    0.93918  2.22s
    294     0.27498     0.26779    1.02686  2.22s
    295     0.27966     0.23862    1.17200  2.23s
    296     0.27720     0.26381    1.05073  2.22s
    297     0.27874     0.27577    1.01078  2.22s
    298     0.27262     0.28230    0.96571  2.22s
    299     0.27822     0.27523    1.01085  2.22s
    300     0.27586     0.27903    0.98865  2.26s
    301     0.27589     0.26475    1.04208  2.26s
    302     0.27410     0.26453    1.03620  2.26s
    303     0.27026     0.26596    1.01618  2.25s
    304     0.27591     0.26757    1.03116  2.28s
    305     0.27120     0.28226    0.96081  2.26s
    306     0.27409     0.27592    0.99334  2.25s
    307     0.27701     0.25894    1.06982  2.26s
    308     0.27254     0.24652    1.10556  2.26s
    309     0.27567     0.27065    1.01855  2.28s
    310     0.27765     0.30507    0.91010  2.26s
    311     0.27553     0.24691    1.11593  2.26s
    312     0.27875     0.27965    0.99678  2.26s
    313     0.27957     0.24924    1.12172  2.26s
    314     0.27134     0.28438    0.95413  2.25s
    315     0.27369     0.29582    0.92517  2.26s
    316     0.26985     0.27863    0.96846  2.26s
    317     0.27241     0.25136    1.08373  2.26s
    318     0.27379     0.28597    0.95741  2.24s
    319     0.27444     0.27579    0.99511  2.22s
    320     0.27353     0.27504    0.99449  2.22s
    321     0.27367     0.26260    1.04216  2.22s
    322     0.27249     0.29267    0.93107  2.23s
    323     0.28144     0.26806    1.04993  2.23s
    324     0.27410     0.27119    1.01072  2.23s
    325     0.27758     0.29412    0.94375  2.22s
    326     0.27944     0.28242    0.98944  2.22s
    327     0.27285     0.25258    1.08024  2.23s
    328     0.27199     0.27112    1.00323  2.22s
    329     0.27374     0.27492    0.99569  2.22s
    330     [36m0.26491[0m     0.26701    0.99211  2.22s
    331     0.26729     0.26760    0.99886  2.24s
    332     0.27568     0.27860    0.98951  2.22s
    333     0.27338     0.28482    0.95982  2.22s
    334     0.26773     0.23781    1.12583  2.22s
    335     0.27165     0.24889    1.09148  2.23s
    336     0.27187     0.26504    1.02577  2.24s
    337     0.27423     0.27308    1.00422  2.22s
    338     0.27305     0.26647    1.02471  2.22s
    339     0.27483     0.31002    0.88648  2.22s
    340     0.27150     0.30494    0.89033  2.23s
    341     0.27796     0.23968    1.15972  2.22s
    342     0.26947     0.30645    0.87933  2.22s
    343     0.27433     0.28672    0.95678  2.22s
    344     0.27188     0.26434    1.02854  2.22s
    345     0.27101     0.28516    0.95038  2.24s
    346     0.27210     0.28399    0.95813  2.22s
    347     0.27797     0.27549    1.00902  2.26s
    348     0.26608     0.25371    1.04874  2.26s
    349     0.26746     0.33524    0.79782  2.27s
    350     0.27199     0.25783    1.05493  2.26s
    351     0.26988     0.26865    1.00459  2.24s
    352     0.27529     0.27347    1.00665  2.26s
    353     0.27561     0.25624    1.07561  2.26s
    354     0.27396     0.28276    0.96886  2.27s
    355     0.27234     0.27825    0.97875  2.26s
    356     0.27270     0.26547    1.02725  2.26s
    357     0.27055     0.26942    1.00418  2.25s
    358     0.27503     0.27991    0.98258  2.28s
    359     0.27737     0.26219    1.05789  2.26s
    360     0.26809     0.26213    1.02275  2.25s
    361     0.26904     0.26662    1.00906  2.25s
    362     0.27546     0.26264    1.04884  2.26s
    363     0.27477     0.27811    0.98799  2.28s
    364     0.26948     0.27927    0.96495  2.25s
    365     0.26941     0.27031    0.99665  2.22s
    366     0.27527     0.27483    1.00160  2.22s
    367     [36m0.26388[0m     0.26640    0.99054  2.24s
    368     0.27033     0.27525    0.98212  2.22s
    369     0.26864     0.25927    1.03616  2.22s
    370     0.27273     0.28153    0.96873  2.22s
    371     0.26999     0.26714    1.01066  2.23s
    372     0.27059     0.25685    1.05349  2.23s
    373     0.26871     0.27252    0.98605  2.22s
    374     0.27116     0.29272    0.92636  2.22s
    375     0.26685     0.28088    0.95007  2.22s
    376     0.26834     0.31159    0.86118  2.23s
    377     0.26679     0.28117    0.94888  2.22s
    378     0.27441     0.24173    1.13517  2.22s
    379     0.27391     0.29201    0.93802  2.22s
    380     0.27110     0.29032    0.93380  2.22s
    381     0.27110     0.25865    1.04813  2.23s
    382     0.26873     0.29062    0.92466  2.22s
    383     0.27454     0.27195    1.00952  2.22s
    384     0.26641     0.24898    1.06999  2.22s
    385     0.27111     0.28220    0.96071  2.24s
    386     0.27316     0.25841    1.05708  2.22s
    387     0.26682     0.27941    0.95495  2.22s
    388     0.26948     0.27521    0.97919  2.22s
    389     0.27233     0.26564    1.02517  2.23s
    390     0.26818     0.26652    1.00624  2.23s
    391     0.27042     0.28880    0.93637  2.21s
    392     0.26811     0.26793    1.00068  2.22s
    393     0.26712     0.32892    0.81210  2.22s
    394     0.26726     0.26173    1.02113  2.24s
    395     0.27921     0.29627    0.94242  2.25s
    396     0.26819     0.25077    1.06948  2.26s
    397     0.27154     0.25693    1.05686  2.26s
    398     0.26962     0.29598    0.91094  2.26s
    399     0.26396     0.30748    0.85845  2.28s
    400     0.26895     0.28753    0.93541  2.25s
    401     0.27284     0.24158    1.12943  2.26s
    402     0.27630     0.29225    0.94541  2.25s
    403     0.26556     0.28016    0.94786  2.27s
    404     0.27863     0.27416    1.01632  2.26s
    405     0.26640     0.26343    1.01127  2.26s
    406     0.26573     0.28283    0.93954  2.26s
    407     [36m0.26315[0m     0.26424    0.99588  2.26s
    408     0.26630     0.27818    0.95731  2.26s
    409     0.27276     0.26230    1.03987  2.25s
    410     0.26912     0.25771    1.04425  2.25s
    411     0.26744     0.26985    0.99107  2.25s
    412     0.27102     0.23561    1.15025  2.27s
    413     0.26662     0.26006    1.02521  2.22s
    414     0.26852     0.29663    0.90525  2.22s
    415     0.26718     0.30091    0.88792  2.22s
    416     0.26544     0.24348    1.09018  2.22s
    417     0.27102     0.28209    0.96074  2.24s
    418     0.26774     0.32031    0.83586  2.22s
    419     0.26843     0.27227    0.98590  2.22s
    420     0.26698     0.25444    1.04929  2.22s
    421     0.26901     0.25157    1.06932  2.24s
    422     0.27110     0.24823    1.09215  2.22s
    423     0.26691     0.24705    1.08040  2.22s
    424     0.27423     0.25975    1.05575  2.22s
    425     0.27078     0.24993    1.08343  2.22s
    426     0.26707     0.24971    1.06953  2.23s
    427     0.26907     0.27095    0.99306  2.22s
    428     0.26667     0.27251    0.97856  2.22s
    429     0.27063     0.31191    0.86765  2.22s
    430     0.26564     0.28729    0.92465  2.24s
    431     0.26592     0.28095    0.94650  2.22s
    432     0.27198     0.25011    1.08745  2.22s
    433     0.26948     0.27032    0.99687  2.22s
    434     0.26736     0.28152    0.94968  2.22s
    435     0.26617     0.27360    0.97286  2.24s
    436     0.26853     0.28554    0.94044  2.22s
    437     0.26484     0.28537    0.92806  2.22s
    438     0.26621     0.24155    1.10212  2.22s
    439     0.27343     0.26432    1.03447  2.23s
    440     0.26920     0.27731    0.97075  2.22s
    441     0.26614     0.25797    1.03166  2.23s
    442     0.26593     0.28563    0.93100  2.26s
